CustomerID,FirstName,LastName,Gender,DateOfBirth,PhoneNumber,Email,RegionID,SubscriptionID,JoinDate,CustomerStatus
CUS00059,Ruth,Ogunbiyi,Female,7/27/1991,09157114424,ruth.ogunbiyi.cus00059@pulseconnect.com,2,2,7/1/2023,Suspended
CUS00060,Daniel,Hill,Male,9/8/1965,08182323607,daniel.hill.cus00060@pulseconnect.com,5,2,8/18/2022,Active
CUS00061,Kelvin,Oladipo,Male,9/10/2002,09059407770,kelvin.oladipo.cus00061@pulseconnect.com,6,3,8/14/2025,Active
CUS00062,Samuel,Aliyu,Male,9/23/1992,09027244841,samuel.aliyu.cus00062@pulseconnect.com,6,4,2/7/2021,Active
CUS00063,David,Walker,Male,7/10/2002,08056275273,david.walker.cus00063@pulseconnect.com,4,3,11/13/2025,Active
CUS00064,Richard,Ajayi,Male,2/21/1956,07083958606,richard.ajayi.cus00064@pulseconnect.com,4,4,8/9/2023,Active
CUS00065,Matthew,Ward,Male,6/25/1971,07053792146,matthew.ward.cus00065@pulseconnect.com,5,4,10/17/2024,Active
CUS00066,Patricia,Okafor,Female,8/17/1980,08167918571,patricia.okafor.cus00066@pulseconnect.com,4,3,9/20/2024,Active
CUS00067,Philip,Cooper,Male,9/7/1980,09172062767,philip.cooper.cus00067@pulseconnect.com,1,2,8/1/2021,Suspended
CUS00068,David,Bello,Male,10/15/1964,07041514745,david.bello.cus00068@pulseconnect.com,4,2,9/3/2023,Churned
CUS00069,Jennifer,Okeke,Female,5/9/1965,09031496888,jennifer.okeke.cus00069@pulseconnect.com,6,2,10/8/2024,Active
CUS00070,Joshua,Akinola,Male,9/9/2007,09074695258,joshua.akinola.cus00070@pulseconnect.com,2,2,7/3/2024,Churned
CUS00071,Paul,Afolabi,Male,6/20/1969,08170111294,paul.afolabi.cus00071@pulseconnect.com,2,3,3/17/2025,Active
CUS00072,Gloria,Scott,Female,2/7/1994,09199410237,gloria.scott.cus00072@pulseconnect.com,2,4,6/23/2024,Active
CUS00073,Kelvin,Adewale,Male,9/4/1982,08096033172,kelvin.adewale.cus00073@pulseconnect.com,1,2,3/17/2025,Active
CUS00074,Precious,Nwachukwu,Female,2/2/1974,08074028198,precious.nwachukwu.cus00074@pulseconnect.com,5,2,6/1/2025,Active
CUS00075,Daniel,Yusuf,Male,1/4/1995,09167069424,daniel.yusuf.cus00075@pulseconnect.com,5,3,2/23/2023,Suspended
CUS00076,Rebecca,Hall,Female,10/27/1984,08193473795,rebecca.hall.cus00076@pulseconnect.com,6,2,8/17/2024,Active
CUS00077,Samuel,Brown,Male,11/22/1969,08133117641,samuel.brown.cus00077@pulseconnect.com,1,2,4/23/2025,Active
CUS00078,Moses,Young,Male,7/17/2007,08087118706,moses.young.cus00078@pulseconnect.com,4,4,2/22/2024,Active
CUS00079,Gloria,Thomas,Female,12/14/1990,08090392825,gloria.thomas.cus00079@pulseconnect.com,6,3,1/7/2025,Active
CUS00080,Moses,Oladipo,Male,6/4/2006,09127497667,moses.oladipo.cus00080@pulseconnect.com,4,2,4/22/2022,Active
CUS00081,Blessing,Brown,Female,10/1/2000,08031143600,blessing.brown.cus00081@pulseconnect.com,1,2,12/12/2023,Active
CUS00082,Isaac,Usman,Male,6/12/1982,08034275426,isaac.usman.cus00082@pulseconnect.com,1,4,4/21/2021,Active
CUS00083,Victor,Green,Male,1/9/2003,07023714302,victor.green.cus00083@pulseconnect.com,1,2,5/26/2024,Active
CUS00084,Daniel,Okafor,Male,8/5/1995,09088737176,daniel.okafor.cus00084@pulseconnect.com,1,4,4/6/2021,Active
CUS00085,Rebecca,Abdullahi,Female,8/9/2000,08120371693,rebecca.abdullahi.cus00085@pulseconnect.com,4,2,10/4/2023,Active
CUS00086,Joy,Lewis,Female,3/5/1972,09030713602,joy.lewis.cus00086@pulseconnect.com,5,3,4/1/2025,Active
CUS00087,Rebecca,Ojo,Female,11/11/1996,08063875170,rebecca.ojo.cus00087@pulseconnect.com,1,2,7/26/2023,Churned
CUS00088,Timothy,Ogunleye,Male,9/9/1972,09134629880,timothy.ogunleye.cus00088@pulseconnect.com,1,1,3/6/2023,Active
CUS00089,Precious,Baker,Female,3/1/2002,08120559797,precious.baker.cus00089@pulseconnect.com,4,2,1/14/2021,Active
CUS00090,John,Aliyu,Male,3/27/2002,08085538648,john.aliyu.cus00090@pulseconnect.com,4,5,9/1/2024,Active
CUS00091,Kelvin,Williams,Male,7/16/1989,09072973836,kelvin.williams.cus00091@pulseconnect.com,3,4,7/28/2024,Active
CUS00092,Timothy,Bello,Male,6/14/1998,08059257666,timothy.bello.cus00092@pulseconnect.com,6,4,2/15/2024,Active
CUS00093,David,Ogunlana,Male,4/20/1987,09172721274,david.ogunlana.cus00093@pulseconnect.com,2,3,7/21/2023,Churned
CUS00094,Mary,Johnson,Female,12/22/2006,09169395692,mary.johnson.cus00094@pulseconnect.com,1,1,1/4/2022,Active
CUS00095,Patricia,Smith,Female,8/28/1996,07022343588,patricia.smith.cus00095@pulseconnect.com,5,2,11/10/2023,Active
CUS00096,Deborah,Ogunbiyi,Female,10/18/1963,08140564997,deborah.ogunbiyi.cus00096@pulseconnect.com,2,2,1/27/2025,Active
CUS00097,Benjamin,Oladipo,Male,4/12/1997,07086692631,benjamin.oladipo.cus00097@pulseconnect.com,1,2,7/12/2024,Active
CUS00098,Samuel,Afolabi,Male,7/23/1967,09149236405,samuel.afolabi.cus00098@pulseconnect.com,1,3,5/21/2023,Active
CUS00099,Mercy,Okeke,Female,8/25/1973,08143731324,mercy.okeke.cus00099@pulseconnect.com,4,2,1/12/2022,Churned
CUS00100,Deborah,Nwosu,Female,6/24/2007,08065702974,deborah.nwosu.cus00100@pulseconnect.com,5,4,6/12/2021,Active
CUS00101,Kelvin,Green,Male,8/8/1956,08186788752,kelvin.green.cus00101@pulseconnect.com,5,2,8/14/2025,Active
CUS00102,Paul,Ward,Male,5/14/2000,09121634630,paul.ward.cus00102@pulseconnect.com,1,2,9/17/2021,Active
CUS00103,Daniel,Evans,Male,1/21/1987,08067209545,daniel.evans.cus00103@pulseconnect.com,3,3,12/7/2024,Active
CUS00104,Richard,Taylor,Male,5/7/1997,08198773872,richard.taylor.cus00104@pulseconnect.com,6,2,12/19/2024,Active
CUS00105,Moses,Okoro,Male,9/7/1977,09076458511,moses.okoro.cus00105@pulseconnect.com,1,1,1/27/2024,Active
CUS00106,Mark,Ogunlana,Male,4/15/2001,09178263559,mark.ogunlana.cus00106@pulseconnect.com,1,1,3/16/2021,Active
CUS00107,Faith,Green,Female,1/27/2008,08145224064,faith.green.cus00107@pulseconnect.com,4,6,11/15/2022,Churned
CUS00108,Philip,Obi,Male,1/5/1978,09137811309,philip.obi.cus00108@pulseconnect.com,2,3,1/17/2024,Active
CUS00109,Joshua,Evans,Male,11/7/1971,09028739525,joshua.evans.cus00109@pulseconnect.com,1,3,10/2/2023,Suspended
CUS00110,Joy,Aliyu,Female,5/19/1966,08128608676,joy.aliyu.cus00110@pulseconnect.com,3,3,4/19/2025,Active
CUS00111,Collins,Chukwu,Male,12/17/1990,09086216424,collins.chukwu.cus00111@pulseconnect.com,3,4,5/16/2024,Active
CUS00112,Grace,Thomas,Female,12/17/2001,08043809013,grace.thomas.cus00112@pulseconnect.com,5,1,10/12/2023,Active
CUS00113,Charles,Hall,Male,2/25/1965,09192789829,charles.hall.cus00113@pulseconnect.com,2,2,1/15/2025,Active
CUS00114,Paul,Ibrahim,Male,12/15/2005,09018268989,paul.ibrahim.cus00114@pulseconnect.com,6,3,7/9/2022,Active
CUS00115,Janet,Thomas,Female,3/5/1993,08178013378,janet.thomas.cus00115@pulseconnect.com,3,2,6/26/2023,Active
CUS00116,Peace,Taylor,Female,5/4/1961,07091933421,peace.taylor.cus00116@pulseconnect.com,3,2,2/11/2024,Active
CUS00117,Richard,Hall,Male,1/6/1961,08047096097,richard.hall.cus00117@pulseconnect.com,6,2,4/14/2023,Active
CUS00118,Peter,Clark,Male,8/3/1973,08193629794,peter.clark.cus00118@pulseconnect.com,6,2,6/27/2022,Active
CUS00119,Timothy,Olawale,Male,10/17/1992,08156180491,timothy.olawale.cus00119@pulseconnect.com,2,1,5/20/2023,Active
CUS00120,Joshua,Scott,Male,2/19/1996,08154010138,joshua.scott.cus00120@pulseconnect.com,3,1,6/13/2021,Active
CUS00121,James,Okoro,Male,1/17/1995,09149839188,james.okoro.cus00121@pulseconnect.com,5,2,6/15/2022,Active
CUS00122,Daniel,Ojo,Male,10/27/1971,09131239941,daniel.ojo.cus00122@pulseconnect.com,3,3,12/20/2025,Churned
CUS00123,Peter,Okafor,Male,11/20/1971,07018868996,peter.okafor.cus00123@pulseconnect.com,1,4,10/24/2025,Active
CUS00124,Precious,Oluwole,Female,12/25/1958,08179668433,precious.oluwole.cus00124@pulseconnect.com,2,3,3/27/2022,Active
CUS00125,Nelson,Taylor,Male,4/3/1985,08076883332,nelson.taylor.cus00125@pulseconnect.com,2,4,5/27/2023,Suspended
CUS00126,Hannah,Johnson,Female,6/18/1994,08118442430,hannah.johnson.cus00126@pulseconnect.com,1,2,6/21/2021,Active
CUS00127,David,Williams,Male,11/23/1999,09120534356,david.williams.cus00127@pulseconnect.com,1,3,11/10/2024,Active
CUS00128,Hannah,Usman,Female,12/5/1998,09176098308,hannah.usman.cus00128@pulseconnect.com,3,2,1/13/2023,Active
CUS00129,Hannah,Abdullahi,Female,9/26/2002,09030974711,hannah.abdullahi.cus00129@pulseconnect.com,2,1,2/11/2025,Active
CUS00130,Peace,Ogunlana,Female,3/17/2003,09135088310,peace.ogunlana.cus00130@pulseconnect.com,2,2,8/10/2023,Active
CUS00131,Anthony,Akinola,Male,5/17/1989,09059654206,anthony.akinola.cus00131@pulseconnect.com,5,3,3/23/2024,Active
CUS00132,Mary,Okafor,Female,5/2/2004,08085087811,mary.okafor.cus00132@pulseconnect.com,2,3,2/14/2025,Active
CUS00133,Esther,Abdullahi,Female,8/7/1982,07095688846,esther.abdullahi.cus00133@pulseconnect.com,4,3,3/8/2022,Churned
CUS00134,Daniel,Young,Male,3/17/1968,08115367093,daniel.young.cus00134@pulseconnect.com,5,1,6/2/2025,Active
CUS00135,Mark,Walker,Male,4/14/1994,07090663097,mark.walker.cus00135@pulseconnect.com,4,6,12/19/2024,Churned
CUS00136,Joy,Thomas,Female,10/7/1984,09074166677,joy.thomas.cus00136@pulseconnect.com,4,3,1/25/2022,Active
CUS00137,Blessing,Aliyu,Female,9/19/2002,09030794444,blessing.aliyu.cus00137@pulseconnect.com,2,3,8/9/2022,Suspended
CUS00138,Charles,Turner,Male,5/2/1990,08093274624,charles.turner.cus00138@pulseconnect.com,5,4,10/8/2025,Active
CUS00139,Nelson,Chukwu,Male,7/22/1962,09180025679,nelson.chukwu.cus00139@pulseconnect.com,3,4,4/13/2022,Active
CUS00140,Victoria,Cooper,Female,3/25/1983,08169507115,victoria.cooper.cus00140@pulseconnect.com,3,2,7/2/2025,Churned
CUS00141,Luke,Chukwu,Male,8/26/1963,07091702784,luke.chukwu.cus00141@pulseconnect.com,5,2,11/2/2022,Active
CUS00142,Samuel,Okeke,Male,1/2/1990,09146303396,samuel.okeke.cus00142@pulseconnect.com,6,1,6/14/2023,Active
CUS00143,Collins,Scott,Male,10/11/1976,09126401114,collins.scott.cus00143@pulseconnect.com,4,3,12/18/2024,Active
CUS00144,Joy,Taylor,Female,2/27/1975,08064217860,joy.taylor.cus00144@pulseconnect.com,4,2,7/15/2022,Active
CUS00145,Henry,Ward,Male,5/3/1960,08110686608,henry.ward.cus00145@pulseconnect.com,1,1,2/26/2022,Active
CUS00146,Victoria,Afolabi,Female,7/13/1977,09120439501,victoria.afolabi.cus00146@pulseconnect.com,4,3,4/24/2023,Churned
CUS00147,Deborah,Green,Female,9/25/2003,09011948505,deborah.green.cus00147@pulseconnect.com,4,2,9/5/2022,Active
CUS00148,Rebecca,Clark,Female,2/12/1968,07029191364,rebecca.clark.cus00148@pulseconnect.com,3,3,2/23/2024,Active
CUS00149,James,Ajayi,Male,2/28/1978,09178609295,james.ajayi.cus00149@pulseconnect.com,6,1,9/4/2022,Active
CUS00150,Mercy,Hill,Female,9/1/1997,09020362482,mercy.hill.cus00150@pulseconnect.com,3,4,8/4/2022,Active
CUS00151,Deborah,Oluwole,Female,4/14/1976,08022222717,deborah.oluwole.cus00151@pulseconnect.com,5,3,10/21/2021,Active
CUS00152,Deborah,Thomas,Female,1/26/1970,08148884258,deborah.thomas.cus00152@pulseconnect.com,5,3,4/8/2025,Active
CUS00153,Gloria,Lewis,Female,12/13/1988,09182380268,gloria.lewis.cus00153@pulseconnect.com,6,4,9/23/2022,Active
CUS00154,Faith,Green,Female,10/21/1974,09176129014,faith.green.cus00154@pulseconnect.com,6,1,4/27/2022,Active
CUS00155,Mark,Ibrahim,Male,12/25/1975,09047520780,mark.ibrahim.cus00155@pulseconnect.com,3,4,1/3/2022,Active
CUS00156,Patricia,Afolabi,Female,10/21/1962,09112802475,patricia.afolabi.cus00156@pulseconnect.com,2,1,11/18/2025,Churned
CUS00157,James,Okafor,Male,9/16/1979,08013698377,james.okafor.cus00157@pulseconnect.com,3,1,5/8/2022,Active
CUS00158,Emmanuel,Clark,Male,11/28/1968,09042951842,emmanuel.clark.cus00158@pulseconnect.com,3,1,2/13/2022,Active
CUS00159,Angela,Johnson,Female,1/3/1996,09014943048,angela.johnson.cus00159@pulseconnect.com,2,1,4/10/2021,Active
CUS00160,Collins,King,Male,4/1/1958,07051606350,collins.king.cus00160@pulseconnect.com,2,4,1/19/2024,Active
CUS00161,David,Turner,Male,12/24/1977,07058016971,david.turner.cus00161@pulseconnect.com,1,1,1/5/2022,Active
CUS00162,Michael,Akinyemi,Male,5/28/1993,09160705454,michael.akinyemi.cus00162@pulseconnect.com,2,2,6/20/2022,Active
CUS00163,Hannah,Obi,Female,2/24/1977,08029958482,hannah.obi.cus00163@pulseconnect.com,5,2,12/7/2024,Active
CUS00164,Stephen,Smith,Male,9/13/2001,08047521935,stephen.smith.cus00164@pulseconnect.com,5,1,5/3/2022,Active
CUS00165,Ruth,Cooper,Female,3/22/2006,09129644922,ruth.cooper.cus00165@pulseconnect.com,2,5,2/15/2021,Active
CUS00166,Precious,Hall,Female,3/2/1974,09034424754,precious.hall.cus00166@pulseconnect.com,4,5,4/19/2025,Active
CUS00167,John,Nwachukwu,Male,9/9/2004,08073640765,john.nwachukwu.cus00167@pulseconnect.com,1,2,12/3/2025,Active
CUS00168,Ruth,Yusuf,Female,7/14/1995,09171823602,ruth.yusuf.cus00168@pulseconnect.com,3,2,4/2/2023,Churned
CUS00169,Joseph,Afolabi,Male,2/16/1961,09121829766,joseph.afolabi.cus00169@pulseconnect.com,3,4,6/7/2024,Active
CUS00170,Faith,Ogunleye,Female,6/6/1978,08183519819,faith.ogunleye.cus00170@pulseconnect.com,5,3,6/24/2023,Active
CUS00171,Matthew,Usman,Male,3/20/1968,09122881509,matthew.usman.cus00171@pulseconnect.com,3,3,4/26/2025,Active
CUS00172,Stephen,Aliyu,Male,5/9/1997,09021695050,stephen.aliyu.cus00172@pulseconnect.com,2,2,3/27/2023,Churned
CUS00173,Nelson,Yusuf,Male,2/26/1992,09081510250,nelson.yusuf.cus00173@pulseconnect.com,6,4,2/5/2024,Active
CUS00174,Nelson,Smith,Male,5/5/1964,08126617958,nelson.smith.cus00174@pulseconnect.com,1,2,12/1/2024,Active
CUS00175,Faith,Aliyu,Female,1/9/1969,09145193074,faith.aliyu.cus00175@pulseconnect.com,1,4,2/18/2022,Active
CUS00176,Joshua,Baker,Male,7/14/1972,08053405516,joshua.baker.cus00176@pulseconnect.com,2,3,1/20/2021,Active
CUS00177,Jennifer,King,Female,12/27/1959,08160929982,jennifer.king.cus00177@pulseconnect.com,5,3,9/7/2025,Active
CUS00178,Kelvin,Williams,Male,3/24/1962,08181904493,kelvin.williams.cus00178@pulseconnect.com,2,3,7/14/2021,Active
CUS00179,Isaac,Ward,Male,8/19/1959,07031937183,isaac.ward.cus00179@pulseconnect.com,1,3,6/19/2025,Churned
CUS00180,Precious,Balogun,Female,3/1/1998,08076671837,precious.balogun.cus00180@pulseconnect.com,2,3,2/23/2024,Active
CUS00181,Victoria,Brown,Female,7/21/1975,09088330661,victoria.brown.cus00181@pulseconnect.com,5,2,12/8/2024,Active
CUS00182,David,Okafor,Male,11/26/1990,08081322662,david.okafor.cus00182@pulseconnect.com,1,2,2/23/2022,Active
CUS00183,Joy,Okoro,Female,2/10/2001,07091309707,joy.okoro.cus00183@pulseconnect.com,6,1,7/14/2021,Active
CUS00184,Mercy,Walker,Female,7/22/1959,08115522802,mercy.walker.cus00184@pulseconnect.com,2,3,11/12/2022,Churned
CUS00185,Precious,Nwosu,Female,12/21/1990,07011772810,precious.nwosu.cus00185@pulseconnect.com,2,1,6/18/2023,Active
CUS00186,Peter,Johnson,Male,6/26/1958,08131550961,peter.johnson.cus00186@pulseconnect.com,2,2,5/27/2022,Active
CUS00187,Isaac,Cooper,Male,11/27/1971,09045226535,isaac.cooper.cus00187@pulseconnect.com,6,5,7/28/2024,Active
CUS00188,Andrew,Evans,Male,6/21/2005,08117519155,andrew.evans.cus00188@pulseconnect.com,5,3,12/20/2025,Active
CUS00189,Mercy,Ogunleye,Female,6/19/1964,09112504918,mercy.ogunleye.cus00189@pulseconnect.com,2,2,3/24/2021,Active
CUS00190,Mark,Green,Male,11/2/1990,08130163369,mark.green.cus00190@pulseconnect.com,5,2,3/14/2021,Active
CUS00191,Rebecca,Okeke,Female,10/14/1987,08030525859,rebecca.okeke.cus00191@pulseconnect.com,5,4,11/5/2024,Active
CUS00192,Kelvin,Ogunbiyi,Male,6/23/1996,09118127833,kelvin.ogunbiyi.cus00192@pulseconnect.com,6,3,2/2/2022,Active
CUS00193,Timothy,Okeke,Male,12/18/1972,09087028731,timothy.okeke.cus00193@pulseconnect.com,2,2,7/3/2022,Active
CUS00194,Grace,Afolabi,Female,12/3/1984,09193978844,grace.afolabi.cus00194@pulseconnect.com,5,3,1/8/2024,Suspended
CUS00195,Charles,Scott,Male,9/5/1957,08148138505,charles.scott.cus00195@pulseconnect.com,6,1,7/16/2025,Suspended
CUS00196,Ruth,Oluwole,Female,8/14/1966,08065640720,ruth.oluwole.cus00196@pulseconnect.com,6,5,12/2/2023,Churned
CUS00197,Victoria,Okeke,Female,1/13/2001,08024898677,victoria.okeke.cus00197@pulseconnect.com,2,2,7/2/2021,Active
CUS00198,Sarah,Ogunleye,Female,3/21/1980,09050948065,sarah.ogunleye.cus00198@pulseconnect.com,2,2,6/17/2023,Active
CUS00199,Matthew,Mohammed,Male,2/28/2003,09048036134,matthew.mohammed.cus00199@pulseconnect.com,3,4,8/17/2025,Churned
CUS00200,Bright,Abdullahi,Male,2/22/1998,08067994090,bright.abdullahi.cus00200@pulseconnect.com,3,4,12/14/2024,Active
CUS00201,Grace,Usman,Female,9/5/1989,08086351524,grace.usman.cus00201@pulseconnect.com,2,4,3/2/2024,Active
CUS00202,John,Turner,Male,11/16/1956,08165138111,john.turner.cus00202@pulseconnect.com,5,4,10/5/2021,Active
CUS00203,Kelvin,Adeyemi,Male,12/13/1956,08193932845,kelvin.adeyemi.cus00203@pulseconnect.com,1,3,8/21/2024,Churned
CUS00204,Anthony,Adewale,Male,2/19/1965,08059348647,anthony.adewale.cus00204@pulseconnect.com,4,2,3/26/2024,Active
CUS00205,Hannah,Walker,Female,3/15/1965,07078846343,hannah.walker.cus00205@pulseconnect.com,3,1,11/4/2022,Churned
CUS00206,Victoria,Ogunbiyi,Female,1/26/1977,09073216479,victoria.ogunbiyi.cus00206@pulseconnect.com,2,2,12/13/2023,Active
CUS00207,Ruth,Walker,Female,3/17/1997,09145791109,ruth.walker.cus00207@pulseconnect.com,2,4,4/5/2025,Active
CUS00208,Victoria,Aliyu,Female,5/9/2007,09085579304,victoria.aliyu.cus00208@pulseconnect.com,1,2,4/21/2022,Active
